timestamp,algorithm,instance,n,k,seed,time_limit,config_name,config_json,feasible,max_route,total_distance,balance,runtime,iterations,notes
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,tenure7_cand100_tgt20,"{""max_candidates"":100,""num_target_routes"":20,""tenure"":7,""use_local_search"":true}",yes,1801.8483,8909.9283,50.9648,10.0039,1553,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,tenure7_cand100_tgt20,"{""max_candidates"":100,""num_target_routes"":20,""tenure"":7,""use_local_search"":true}",yes,1848.5823,9159.7649,37.9649,10.0038,1372,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,tenure10_cand100_tgt5,"{""max_candidates"":100,""num_target_routes"":5,""tenure"":10,""use_local_search"":true}",yes,2027.1002,9949.4791,62.0253,10.0044,1371,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,tenure10_cand100_tgt5,"{""max_candidates"":100,""num_target_routes"":5,""tenure"":10,""use_local_search"":true}",yes,1801.8483,8909.9283,50.9648,10.0054,1496,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,tenure10_cand100_tgt5,"{""max_candidates"":100,""num_target_routes"":5,""tenure"":10,""use_local_search"":true}",yes,1848.5823,9159.7649,37.9649,10.0051,1322,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,tenure10_cand100_tgt12,"{""max_candidates"":100,""num_target_routes"":12,""tenure"":10,""use_local_search"":true}",yes,2027.1002,9949.4791,62.0253,10.0116,1335,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,tenure10_cand100_tgt12,"{""max_candidates"":100,""num_target_routes"":12,""tenure"":10,""use_local_search"":true}",yes,1801.8483,8909.9283,50.9648,10.0045,1457,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,tenure10_cand100_tgt12,"{""max_candidates"":100,""num_target_routes"":12,""tenure"":10,""use_local_search"":true}",yes,1848.5823,9159.7649,37.9649,10.0037,1275,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,tenure10_cand100_tgt20,"{""max_candidates"":100,""num_target_routes"":20,""tenure"":10,""use_local_search"":true}",yes,2027.1002,9949.4791,62.0253,10.0029,1303,grid
2026-06-08T23:43:23,tabu_search,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,tenure10_cand100_tgt20,"{""max_candidates"":100,""num_target_routes"":20,""tenure"":10,""use_local_search"":true}",yes,1801.8483,8909.9283,50.9648,10.0071,1445,grid
