timestamp,stage,config_name,shake_name,candidate_name,instance,n,k,seed,time_limit,config_json,feasible,max_route,total_distance,balance,runtime,iterations,outer_iterations
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,698.0207953316999,13551.510620567484,32.38795117394977,10.000237700063735,695,59
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,717.1265576639,13518.027779717557,71.79078939389001,10.000176400062628,689,32
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,698.0207953316999,13526.564761164405,38.038054299797864,10.00026020000223,682,40
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,683.243366603,48763.1840309863,601.0071829905,10.000423800083809,128,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,683.243366603,55038.53537946646,518.6792884287,10.000252100056969,138,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,683.243366603,53057.38325257142,465.91550910910007,10.003097100066952,156,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,994.825851644,4942.226140228613,14.789609133266254,10.000086300075054,4231,809
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,994.825851644,4958.386879680604,6.443203492990051,10.000055700074881,4179,806
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,994.825851644,4909.949248364183,31.357883405410348,10.000061099999584,4018,782
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,999.586390967,19579.238237449037,41.268839665879796,10.000183900003321,907,62
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,999.586390967,19602.17379347627,29.65743138611981,10.00014200003352,906,70
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,999.586390967,19582.87136291238,38.372209525810035,10.000100300065242,866,79
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,997.904381345,58428.63033374947,997.904381345,10.002767600002699,101,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,997.904381345,61818.43782608752,969.96836678235,10.00030750001315,95,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/corridor/corridor_edge_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,997.904381345,57929.03628966828,997.904381345,10.005583200021647,83,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1134.74791620048,22351.15324835981,45.350888060679836,10.000333199976012,512,41
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1185.03786516543,23078.11221886594,56.55317067793976,10.000173300039023,536,18
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_edge_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1186.80881200084,23080.402742578328,59.94355214273992,10.000385000021197,384,22
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1347.3366884775003,26526.175364184877,64.40440583720033,10.000212299986742,691,48
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1373.52908787755,27251.335526590745,26.89435643534989,10.00031090003904,480,26
20260606_233522,baseline,baseline,shake5,cand24,data/generated/depot_position/uniform_corner_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1350.1749350543,26381.42673119115,116.0855912303,10.000242699985392,591,39
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1678.2747479852003,8319.604482137509,26.45349824477057,10.000037600053474,1884,614
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1752.8108305326998,8718.257304357909,33.74656914687989,10.000039199949242,2080,662
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1785.52529846359,8834.30556013381,39.226407997790375,10.000073299976066,2099,661
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,893.0427127091998,17163.934814822678,62.018458383099755,10.00026010000147,585,123
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,927.2101604752601,17830.38503425358,75.77715577236006,10.00012889993377,580,143
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,889.1712968201601,17442.44889679075,55.523814432360155,10.000309300026856,568,115
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,693.807353604,66951.11571471726,90.44225997077001,10.002946099964902,133,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,693.807353604,67431.2996703685,86.08162522091015,10.003595300018787,130,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,693.807353604,67429.96947975985,98.27088220939993,10.000767800025642,117,2
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,890.7447573036001,4401.88994358398,16.116487566000046,10.00008400005754,1927,617
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,949.2161739626001,4651.9461453512395,28.927786209000146,10.000065100030042,1888,596
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,849.4688053773999,4124.122578771681,32.80782514409964,10.000091800000519,2029,660
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,615.40230002047,12036.552551528908,30.717693594270145,10.000121799996123,658,93
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,615.6359822760601,12045.771885827417,28.083350309189996,10.000142300035805,571,78
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster10_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,663.4577173819598,12811.753837479977,36.29917217185971,10.00021700002253,625,112
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster20_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,587.200249808,53557.002191509375,235.99961513969998,10.00131840002723,143,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster20_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,587.200249808,56442.978404099,90.91897112569995,10.002163299941458,143,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/cluster/cluster20_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,587.200249808,54668.61421378232,170.5445403765999,10.000701599987224,174,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1179.6005545298,5864.35682474514,17.24011814991013,10.000070499954745,2216,686
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1151.52350428231,5731.67016073416,15.748758899259883,10.000101999961771,2010,659
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,1148.69686314896,5726.82221440649,5.5938070557699575,10.000062100007199,1986,641
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,698.0207953316999,13648.73112025427,24.041390608159872,10.000103099970147,999,177
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,717.1265576639,13380.094826295655,74.79295682555005,10.000259099993855,976,180
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier10pct_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,698.0207953316999,13439.182962428595,34.98198225600993,10.00011749996338,901,178
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,683.243366603,48763.1840309863,601.0071829905,10.004077999969013,129,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,683.243366603,55365.954246784946,409.61971116660004,10.001913500018418,142,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/outlier/outlier5pct_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,683.243366603,53141.06108882428,465.86267258360004,10.001945900032297,161,1
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,994.825851644,4916.1026293682535,29.906175541565858,10.000080100027844,6281,2053
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,994.825851644,4964.308570559244,3.5779235205201303,10.000033100019209,6150,2015
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,994.825851644,4902.6596993912535,34.40668697644014,10.000036300043575,6283,2036
20260606_233522,shake_tuning,shake3,shake3,cand24,data/generated/corridor/corridor_edge_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 3}",True,999.586390967,19594.55238105562,34.0901099229103,10.000235200044699,1192,221
