section,rank,group_key,runs,mean_relative_max_route,win_rate,mean_max_route_improvement_pct,median_max_route_improvement_pct,mean_max_route,mean_balance,mean_total_distance,stage,note
destroy_top2,1,small_destroy,28,0.9790988385927099,0.7142857142857143,2.090116140729018,0.6073981859265989,1040.7014273736756,99.63425847648575,32272.76815213752,destroy_tuning,selected_destroy
destroy_top2,2,medium_destroy,28,0.9986756049549795,0.14285714285714285,0.13243950450204187,0.0,1060.8379637737446,125.20457459790703,32730.911007275197,destroy_tuning,selected_destroy
sa_top2,1,strict,56,0.9926326947464672,0.44642857142857145,0.7367305253532755,0.0,1052.265026247924,101.25122570571715,32730.468383132837,sa_tuning,selected_sa
sa_top2,2,very_exploratory,56,0.9947691105636982,0.4107142857142857,0.5230889436301805,0.0,1055.218165509853,109.06273362184037,32749.588493715397,sa_tuning,selected_sa
reward_top2,1,default,112,0.9951188321770966,0.4107142857142857,0.48811678229033456,0.0,1055.3702076113987,104.2015457449308,32793.972290879836,reward_tuning,selected_reward
reward_top2,2,exploration_friendly,112,0.9957765482186085,0.45535714285714285,0.422345178139151,0.0,1056.1375084554527,108.63552862133686,32720.3236702304,reward_tuning,selected_reward
final_top8,1,small_destroy__strict__exploration_friendly,28,0.9825136346934958,0.6428571428571429,1.7486365306504135,0.11746391766974107,1040.2580630774207,92.26615808819716,32366.87053519208,final_selection,final_candidate
final_top8,2,small_destroy__strict__default,28,0.9831178112970148,0.6071428571428571,1.688218870298513,0.13733871998468283,1041.2329848056415,96.5735708001093,32382.268031183485,final_selection,final_candidate
final_top8,3,small_destroy__very_exploratory__default,28,0.9860994435335337,0.6071428571428571,1.3900556466466298,0.11298603182342158,1046.7705468879276,95.30025273353573,32443.840316438866,final_selection,final_candidate
final_top8,4,small_destroy__very_exploratory__exploration_friendly,28,0.9899087604216098,0.6071428571428571,1.0091239578390196,0.1816867967138736,1050.4306774015843,95.08863226951212,32482.745416401965,final_selection,final_candidate
final_top8,5,medium_destroy__strict__exploration_friendly,28,0.9957321219214584,0.42857142857142855,0.42678780785415954,0.0,1054.6268484995576,123.88047283861175,32752.177280693337,final_selection,final_candidate
final_top8,6,medium_destroy__strict__default,28,1.0004280972489084,0.2857142857142857,-0.0428097248908373,0.0,1061.3514330252071,105.32738652547783,33094.774452364654,final_selection,final_candidate
final_top8,7,medium_destroy__very_exploratory__default,28,1.0108299766289297,0.14285714285714285,-1.0829976628929672,0.0,1072.125865726819,119.60497292060033,33255.006363532346,final_selection,final_candidate
final_top8,8,medium_destroy__very_exploratory__exploration_friendly,28,1.0149516758378698,0.14285714285714285,-1.4951675837869889,-0.0015722851436133299,1079.2344448432486,123.3068512890264,33279.501448634204,final_selection,final_candidate
final_choice,1,small_destroy__strict__exploration_friendly,28,0.9825136346934958,0.6428571428571429,1.7486365306504135,0.11746391766974107,1040.2580630774207,92.26615808819716,32366.87053519208,final_selection,chosen_config
