group_key,runs,mean_relative_max_route,mean_max_route_improvement_pct,median_max_route_improvement_pct,win_rate,mean_max_route,mean_total_distance,mean_balance,mean_runtime,mean_iterations,best_max_route,worst_max_route,stage
baseline,28,1.0,0.0,0.0,0.0,1061.9425333846507,32724.721167223826,130.19661864649453,6.509807250000027,275.4642857142857,639.7421819293301,1745.25856426438,baseline
small_destroy,28,0.9790988385927099,2.090116140729018,0.6073981859265989,0.7142857142857143,1040.7014273736756,32272.76815213752,99.63425847648575,6.205329049999899,891.75,638.75130959182,1746.9901948109996,destroy_tuning
medium_destroy,28,0.9986756049549795,0.13243950450204187,0.0,0.14285714285714285,1060.8379637737446,32730.911007275197,125.20457459790703,6.388899775000027,263.85714285714283,639.7421819293301,1745.25856426438,destroy_tuning
large_destroy,28,1.0025796315670363,-0.2579631567036272,0.0008973343137282067,0.5,1064.3513998490766,31716.92580378042,168.63185910142317,12.798154774999896,120.21428571428571,639.7421819293301,1763.75045737398,destroy_tuning
very_large_destroy,28,1.0131561176900132,-1.315611769001322,0.0,0.4642857142857143,1075.8282389693882,32656.618309528163,142.05346550977038,20.549306532142868,73.96428571428571,637.9186630788,1726.5340730016999,destroy_tuning
strict,56,0.9926326947464672,0.7367305253532755,0.0,0.44642857142857145,1052.265026247924,32730.468383132837,101.25122570571715,6.187099300000049,489.44642857142856,638.75130959182,1754.7946256524003,sa_tuning
very_exploratory,56,0.9947691105636982,0.5230889436301805,0.0,0.4107142857142857,1055.218165509853,32749.588493715397,109.06273362184037,5.987717416071307,462.17857142857144,638.75130959182,1752.3657700692002,sa_tuning
default,56,0.9954955654458116,0.4504434554188343,0.0,0.3392857142857143,1057.6644145338307,32623.40302063729,112.1304953495744,6.263334717857203,488.42857142857144,638.75130959182,1747.03506831113,sa_tuning
default_slow,56,0.9983836428059962,0.16163571940038235,0.0,0.32142857142857145,1059.8796315646237,32849.69264578547,104.14256739492119,6.1237388339285745,462.4107142857143,638.75130959182,1770.5053962915003,sa_tuning
balanced,56,1.0058297379493049,-0.5829737949304747,0.0,0.3392857142857143,1067.4275126180496,33048.51403702781,108.05952055813636,6.432813146428446,378.375,638.75130959182,1743.6478334564001,sa_tuning
default,112,0.9951188321770966,0.48811678229033456,0.0,0.4107142857142857,1055.3702076113987,32793.972290879836,104.2015457449308,6.100831583928523,484.4107142857143,638.75130959182,1746.6190255009,reward_tuning
exploration_friendly,112,0.9957765482186085,0.422345178139151,0.0,0.45535714285714285,1056.1375084554527,32720.3236702304,108.63552862133686,6.452748547321456,474.91964285714283,638.75130959182,1833.1911100960997,reward_tuning
improvement_only,112,0.9966775454524889,0.33224545475110684,0.0,0.41964285714285715,1057.6379479816546,32896.89373388591,103.68085338877444,6.149533071428517,422.5357142857143,638.75130959182,1783.3509342664,reward_tuning
smooth_reward,112,0.9972056962698845,0.2794303730115418,0.0,0.4017857142857143,1058.7239300121014,32832.15979485205,101.65913675123085,6.338556893749967,472.0982142857143,638.75130959182,1771.6893050387002,reward_tuning
aggressive_best,112,1.0016886280021076,-0.16886280021075512,0.0,0.39285714285714285,1062.6399920276242,32896.54993302639,106.27347630877283,6.204239477678576,462.4732142857143,638.75130959182,1788.3021670671299,reward_tuning
small_destroy__strict__exploration_friendly,28,0.9825136346934958,1.7486365306504135,0.11746391766974107,0.6428571428571429,1040.2580630774207,32366.87053519208,92.26615808819716,5.847353735714478,746.3571428571429,638.75130959182,1789.3850017423003,final_selection
small_destroy__strict__default,28,0.9831178112970148,1.688218870298513,0.13733871998468283,0.6071428571428571,1041.2329848056415,32382.268031183485,96.5735708001093,5.841887421428412,773.6428571428571,638.75130959182,1701.2924769609,final_selection
small_destroy__very_exploratory__default,28,0.9860994435335337,1.3900556466466298,0.11298603182342158,0.6071428571428571,1046.7705468879276,32443.840316438866,95.30025273353573,5.865644182142757,765.8571428571429,638.75130959182,1722.7646480562803,final_selection
small_destroy__very_exploratory__exploration_friendly,28,0.9899087604216098,1.0091239578390196,0.1816867967138736,0.6071428571428571,1050.4306774015843,32482.745416401965,95.08863226951212,5.963289371428508,705.2142857142857,638.75130959182,1741.6199201264,final_selection
medium_destroy__strict__exploration_friendly,28,0.9957321219214584,0.42678780785415954,0.0,0.42857142857142855,1054.6268484995576,32752.177280693337,123.88047283861175,7.271942982142913,287.14285714285717,639.7421819293301,1716.6077183581801,final_selection
medium_destroy__strict__default,28,1.0004280972489084,-0.0428097248908373,0.0,0.2857142857142857,1061.3514330252071,33094.774452364654,105.32738652547783,6.112458589285844,218.67857142857142,639.7421819293301,1746.6190255009,final_selection
medium_destroy__very_exploratory__default,28,1.0108299766289297,-1.0829976628929672,0.0,0.14285714285714285,1072.125865726819,33255.006363532346,119.60497292060033,6.5833361428570765,179.46428571428572,639.7421819293301,1744.2809366574295,final_selection
medium_destroy__very_exploratory__exploration_friendly,28,1.0149516758378698,-1.4951675837869889,-0.0015722851436133299,0.14285714285714285,1079.2344448432486,33279.501448634204,123.3068512890264,6.7284080999999265,160.96428571428572,639.7421819293301,1833.1911100960997,final_selection
