section,rank,group_key,runs,mean_relative_max_route,win_rate,mean_max_route_improvement_pct,median_max_route_improvement_pct,mean_max_route,mean_total_distance,stage,note
destroy_top2,1,small_destroy,42,0.9934630114386125,0.5476190476190477,0.6536988561387561,0.007977318227946771,947.3295844429338,21154.72182855181,destroy_tuning,selected_destroy
destroy_top2,2,medium_destroy,42,0.9979137971430828,0.2619047619047619,0.2086202856917235,0.0,952.5861719695171,21350.00450238478,destroy_tuning,selected_destroy
sa_top2,1,balanced,84,0.9961503940949094,0.36904761904761907,0.3849605905090608,0.0,950.2659748421086,21238.65307083095,sa_tuning,selected_sa
sa_top2,2,strict,84,0.9965482710261512,0.36904761904761907,0.34517289738488083,0.0,950.7818870081402,21214.129942096028,sa_tuning,selected_sa
reward_top2,1,aggressive_best,168,0.9886673807548808,0.5357142857142857,1.1332619245119198,0.0059694249538487345,943.7594464429459,21123.4509584117,reward_tuning,selected_reward
reward_top2,2,default,168,0.99040999028798,0.5654761904761905,0.9590009712019972,0.009985046450253342,944.9068118330343,21170.37960122214,reward_tuning,selected_reward
final_top8,1,small_destroy__strict__aggressive_best,42,0.9850024688893813,0.6190476190476191,1.499753111061876,0.19026040686790602,941.3829574967102,21081.466933834257,final_selection,final_candidate
final_top8,2,small_destroy__strict__default,42,0.985700597179706,0.6190476190476191,1.4299402820294005,0.22084944240633386,941.2255168675674,21083.737864172643,final_selection,final_candidate
final_top8,3,small_destroy__balanced__aggressive_best,42,0.9884786123275441,0.5238095238095238,1.1521387672455932,0.004887354883963513,943.3652113047058,21060.858877332103,final_selection,final_candidate
final_top8,4,medium_destroy__balanced__default,42,0.9900996007488703,0.5714285714285714,0.9900399251129698,0.01806620279240235,944.3915162973609,21255.727348799886,final_selection,final_candidate
final_top8,5,small_destroy__balanced__default,42,0.9901675346339666,0.5952380952380952,0.9832465366033474,0.03600257712635986,944.3384053181657,21087.006709069687,final_selection,final_candidate
final_top8,6,medium_destroy__strict__aggressive_best,42,0.9904883892396128,0.47619047619047616,0.951161076038718,0.0,945.1448312936662,21141.053282726014,final_selection,final_candidate
final_top8,7,medium_destroy__balanced__aggressive_best,42,0.9907000525629851,0.5238095238095238,0.9299947437014916,0.005464378289335256,945.1447856767012,21210.42473975443,final_selection,final_candidate
final_top8,8,medium_destroy__strict__default,42,0.9956722285893773,0.47619047619047616,0.4327771410622715,0.0,949.6718088490431,21255.046482846337,final_selection,final_candidate
final_choice,1,small_destroy__strict__aggressive_best,42,0.9850024688893813,0.6190476190476191,1.499753111061876,0.19026040686790602,941.3829574967102,21081.466933834257,final_selection,chosen_config
