timestamp,time_limit,algorithm,config_name,instances,runs,feasible_rate,mean_gap_pct,median_gap_pct,mean_max_route,std_instance_mean_max_route,median_instance_mean_max_route,mean_total_distance,mean_balance,mean_runtime,mean_iterations,win_rate,rank_sum
2026-06-08T10:03:39,1.0,tabu_search,tenure15_cand100,28,28,1.0,7.205706633660761,0.009791888882818074,1039.9786622933605,341.74688282670564,990.92665929791,18832.418615793842,399.442107845175,1.4348350118608713,11.285714285714286,0.4642857142857143,49
2026-06-08T10:03:39,1.0,alns,small_destroy__strict__exploration_friendly,28,28,1.0,16.19082724532263,12.900267954157702,1108.4531964884222,317.06360688346876,1001.5307459737,33762.58716713431,93.55114789010791,1.0917935500000178,186.46428571428572,0.03571428571428571,74
2026-06-08T10:03:39,1.0,vns,shake7__cand24,28,28,1.0,23.14172575155129,0.0,1136.510971698261,523.9614147105358,994.73700329693,36420.97818048429,250.6475080432996,1.0018023321428748,78.75,0.5,45
2026-06-08T10:03:39,3.0,vns,shake7__cand24,28,28,1.0,0.7030523161413916,0.0,967.4095949796732,295.37308485867436,971.3916154722999,24001.149271100443,221.05817085665208,3.001113275000015,231.71428571428572,0.5,42
2026-06-08T10:03:39,3.0,tabu_search,tenure15_cand100,28,28,1.0,6.689456884087806,0.1961765403574599,1027.97890066639,336.3248516715571,990.91714123271,18802.081811233867,375.6349847204225,3.391363433067454,31.857142857142858,0.4642857142857143,50
2026-06-08T10:03:39,3.0,alns,small_destroy__strict__exploration_friendly,28,28,1.0,12.438938779831714,10.008398157617208,1065.2212704581373,293.9646941123009,993.11088893676,32839.68179404787,100.51116196157577,3.6413748892857063,536.8214285714286,0.03571428571428571,76
2026-06-08T10:03:39,5.0,vns,shake7__cand24,28,28,1.0,0.5890446035725027,0.0,963.4041212746189,295.70313451146995,969.8791297567001,24564.91329408887,190.46713282325257,5.002485060714305,358.17857142857144,0.4642857142857143,43
2026-06-08T10:03:39,5.0,tabu_search,tenure15_cand100,28,28,1.0,6.65999988485508,1.0537323154869633,1024.0068796418088,334.0235286536987,990.9164440249999,18776.04333213129,371.25613757157714,5.4211106116802386,58.535714285714285,0.4642857142857143,51
2026-06-08T10:03:39,5.0,alns,small_destroy__strict__exploration_friendly,28,28,1.0,10.487476255013828,9.517699358743545,1044.8606364255365,289.5360389866351,987.5785300144,32078.590503971318,96.647494150164,5.951378353571434,872.5714285714286,0.07142857142857142,74
2026-06-08T10:03:39,10.0,vns,shake7__cand24,53,53,1.0,2.087995954342469,0.0,1478.7888700800108,2201.2734161801473,957.6202191864002,25632.976444100972,130.96818330992963,10.001655158490566,1171.3396226415093,0.5094339622641509,82
2026-06-08T10:03:39,10.0,alns,small_destroy__strict__exploration_friendly,53,53,1.0,7.151944476313898,3.07428575202749,1418.9804659088622,1627.7496668209,982.1545655406001,29131.628522046045,101.02150721893472,10.419210424528416,4896.622641509434,0.1320754716981132,133
2026-06-08T10:03:39,10.0,tabu_search,tenure15_cand100,53,53,1.0,7.464515011717713,1.7030230577847896,1456.0403785308508,1709.0690707652227,987.589169536,21751.897318409374,358.2853973987144,12.821746167925188,152.9811320754717,0.3584905660377358,103
2026-06-08T10:03:39,30.0,vns,shake7__cand24,28,28,1.0,0.14584734079240405,0.0,945.4789264349339,291.64206439130794,941.9910967826102,26874.567638271088,150.08782917180972,30.001317450000013,2152.214285714286,0.4642857142857143,46
2026-06-08T10:03:39,30.0,tabu_search,tenure15_cand100,28,28,1.0,6.706836761927298,0.45641681287647673,1007.6149597086828,326.1081205373498,990.9164440249999,18675.030567527858,358.8185879218892,30.405348485217214,418.75,0.35714285714285715,57
2026-06-08T10:03:39,30.0,alns,small_destroy__strict__exploration_friendly,28,28,1.0,7.84400156369421,4.378405136273484,1004.4433694130015,275.47136357525216,982.66803856334,30504.384559713002,87.65620655929186,30.98698464999997,5388.142857142857,0.17857142857142858,65
